City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Birin,NP,2022-04-02 02:42:00,26.8865,88.0718,63.25,80,64,5.75
68,Umm Lajj,SA,2022-04-02 02:42:01,25.0213,37.2685,76.8,47,19,1.12
69,Portland,US,2022-04-02 02:39:59,45.5234,-122.6762,54.61,82,100,6.91
70,Narsaq,GL,2022-04-02 02:42:02,60.9167,-46.05,50.22,75,100,3.56
71,Airai,TL,2022-04-02 02:35:04,-8.9266,125.4092,75.45,43,6,1.72
72,Dickinson,US,2022-04-02 02:42:02,29.4608,-95.0513,68.95,70,0,9.22
73,Castro,BR,2022-04-02 02:38:37,-24.7911,-50.0119,54.21,98,100,5.75
74,Barrow,US,2022-04-02 02:35:37,71.2906,-156.7887,-2.18,65,0,18.41
75,Abu Samrah,SY,2022-04-02 02:42:03,35.3029,37.1841,58.98,38,80,4.52
76,Biankouma,CI,2022-04-02 02:42:03,7.7391,-7.6138,69.62,97,100,2.17
77,Erenhot,CN,2022-04-02 02:38:41,43.6475,111.9767,47.34,22,19,16.46
78,Namatanai,PG,2022-04-02 02:42:03,-3.6667,152.4333,75.63,91,100,1.97
79,Zlobin,HR,2022-04-02 02:42:04,45.2924,14.6541,40.3,94,75,9.22
80,Dubbo,AU,2022-04-02 02:42:05,-32.25,148.6167,69.93,43,0,6.91
81,Mar Del Plata,AR,2022-04-02 02:34:28,-38.0023,-57.5575,59.88,77,0,6.91
82,Noumea,NC,2022-04-02 02:42:06,-22.2763,166.4572,91.38,99,100,15.12
83,Necochea,AR,2022-04-02 02:42:07,-38.5473,-58.7368,53.71,64,67,11.81
84,Clyde River,CA,2022-04-02 02:35:33,70.4692,-68.5914,10.63,92,100,5.75
85,Uinskoye,RU,2022-04-02 02:42:08,56.8817,56.5813,28.38,96,100,10.22
86,Faanui,PF,2022-04-02 02:35:32,-16.4833,-151.75,82.36,67,100,1.52
87,Punta Arenas,CL,2022-04-02 02:32:22,-53.15,-70.9167,35.71,87,0,8.05
88,Touros,BR,2022-04-02 02:38:39,-5.1989,-35.4608,78.58,86,98,10.31
89,Hilo,US,2022-04-02 02:35:35,19.7297,-155.09,76.73,84,100,13.8
90,Serowe,BW,2022-04-02 02:42:08,-22.3833,26.7167,63.45,50,30,4.99
91,Puerto Ayora,EC,2022-04-02 02:43:09,-0.7393,-90.3518,77.56,97,20,5.41
92,Bethel,US,2022-04-02 02:43:09,41.3712,-73.414,43.48,63,75,9.22
93,Acapulco,MX,2022-04-02 02:38:18,16.8634,-99.8901,78.62,69,75,6.91
94,Albany,US,2022-04-02 02:31:24,42.6001,-73.9662,36.39,64,90,3.0
95,Celestun,MX,2022-04-02 02:36:46,20.8667,-90.4,79.0,85,70,12.03
96,Dikson,RU,2022-04-02 02:36:44,73.5069,80.5464,6.85,93,100,6.73
97,Bredasdorp,ZA,2022-04-02 02:36:43,-34.5322,20.0403,63.43,66,99,11.07
98,Mahebourg,MU,2022-04-02 02:36:53,-20.4081,57.7,76.24,100,75,29.93
99,Belyy Yar,RU,2022-04-02 02:38:13,53.6039,91.3903,44.49,50,0,13.42
100,Ancud,CL,2022-04-02 02:36:46,-41.8697,-73.8203,53.22,93,52,6.58
101,Shalakusha,RU,2022-04-02 02:43:10,62.2247,40.2539,-2.9,100,97,2.46
102,Birjand,IR,2022-04-02 02:43:11,32.8663,59.2211,41.47,36,0,4.61
103,Port Lincoln,AU,2022-04-02 02:43:11,-34.7333,135.8667,65.25,57,60,15.08
104,Biak,ID,2022-04-02 02:43:12,-0.9131,122.8766,83.86,68,74,2.73
105,Margate,GB,2022-04-02 02:43:13,51.3813,1.3862,39.69,74,61,8.99
106,Bud,US,2022-04-02 02:43:13,39.447,-86.1758,37.94,79,49,0.83
107,Thompson,CA,2022-04-02 02:35:36,55.7435,-97.8558,17.76,86,100,11.5
108,Vaasa,FI,2022-04-02 02:43:13,63.096,21.6158,26.94,86,0,8.05
109,Padang,ID,2022-04-02 02:43:14,-0.9492,100.3543,78.85,56,94,3.58
110,Cherskiy,RU,2022-04-02 02:39:25,68.75,161.3,-6.18,81,100,0.67
111,Inirida,CO,2022-04-02 02:43:14,3.8653,-67.9239,76.15,83,80,0.67
112,Tulun,RU,2022-04-02 02:43:14,54.5611,100.5792,36.5,85,95,6.49
113,Ahipara,NZ,2022-04-02 02:38:37,-35.1667,173.1667,72.84,63,100,0.92
114,Rawlins,US,2022-04-02 02:39:34,41.7911,-107.2387,46.29,21,0,14.97
115,Port Hardy,CA,2022-04-02 02:43:15,50.6996,-127.4199,44.78,81,75,3.44
116,Labuhan,ID,2022-04-02 02:43:15,-6.8844,112.2051,82.65,72,99,5.82
117,Havre,FR,2022-04-02 02:39:38,49.5833,0.3333,34.2,86,40,10.36
118,Cozumel,MX,2022-04-02 02:43:16,20.5083,-86.9458,78.01,85,24,7.0
119,Seoul,KR,2022-04-02 02:40:00,37.5683,126.9778,54.79,37,0,5.75
120,Klaksvik,FO,2022-04-02 02:36:51,62.2266,-6.589,34.72,71,99,15.59
121,Torbay,CA,2022-04-02 02:43:17,47.6666,-52.7314,34.29,93,100,27.63
122,Grandview,US,2022-04-02 02:43:17,38.8858,-94.533,52.61,59,0,4.61
123,Souillac,MU,2022-04-02 02:41:53,-20.5167,57.5167,75.58,100,75,29.93
124,Bantry,IE,2022-04-02 02:43:20,51.6833,-9.45,39.78,80,100,6.44
125,Okhotsk,RU,2022-04-02 02:43:20,59.3833,143.3,21.72,62,32,15.12
126,Zhob,PK,2022-04-02 02:43:20,31.3411,69.4481,67.82,11,0,5.84
127,Lima,PE,2022-04-02 02:41:59,-12.0432,-77.0282,73.9,68,0,9.22
