City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Butaritari,KI,2022-04-02 20:36:41,3.0707,172.7902,81.52,77,86,16.8,overcast clouds
60,Marzuq,YE,2022-04-02 20:36:42,14.4,46.4667,69.98,33,2,5.77,clear sky
61,Lebu,CL,2022-04-02 20:36:42,-37.6167,-73.65,58.69,96,100,10.56,overcast clouds
62,Aklavik,CA,2022-04-02 20:36:42,68.2191,-135.0107,-7.6,59,0,3.44,clear sky
63,Saint-Joseph,RE,2022-04-02 20:36:42,-21.3667,55.6167,75.58,97,100,16.35,very heavy rain
64,Bluff,NZ,2022-04-02 20:36:43,-46.6,168.3333,57.31,73,90,19.8,overcast clouds
65,Humaita,BR,2022-04-02 20:36:43,-7.5061,-63.0208,70.99,98,100,1.86,overcast clouds
66,San Juan De Uraba,CO,2022-04-02 20:36:43,8.7592,-76.5297,83.01,73,45,7.76,scattered clouds
67,Bathsheba,BB,2022-04-02 20:36:44,13.2167,-59.5167,83.01,61,75,26.46,broken clouds
68,East London,ZA,2022-04-02 20:36:42,-33.0153,27.9116,66.49,86,100,10.45,light rain
69,New Norfolk,AU,2022-04-02 20:36:44,-42.7826,147.0587,54.9,69,93,0.96,overcast clouds
70,Itarema,BR,2022-04-02 20:36:44,-2.9248,-39.9167,76.73,87,77,12.26,broken clouds
71,Leshukonskoye,RU,2022-04-02 20:36:45,64.8989,45.7622,15.85,92,76,3.71,broken clouds
72,Bitung,ID,2022-04-02 20:36:45,1.4451,125.1824,74.25,76,98,2.66,overcast clouds
73,Khatanga,RU,2022-04-02 20:36:45,71.9667,102.5,-1.62,98,100,7.16,overcast clouds
74,Chokurdakh,RU,2022-04-02 20:36:45,70.6333,147.9167,-1.26,94,100,4.59,overcast clouds
75,Caravelas,BR,2022-04-02 20:36:46,-17.7125,-39.2481,77.95,78,0,5.68,clear sky
76,Nizwa,OM,2022-04-02 20:36:46,22.9333,57.5333,77.47,26,24,3.96,few clouds
77,Cidreira,BR,2022-04-02 20:36:46,-30.1811,-50.2056,70.23,75,3,16.55,clear sky
78,Nouadhibou,MR,2022-04-02 20:36:46,20.931,-17.0347,63.68,86,38,19.3,scattered clouds
79,Hilo,US,2022-04-02 20:36:47,19.7297,-155.09,76.24,91,100,9.22,overcast clouds
80,Ilulissat,GL,2022-04-02 20:36:47,69.2167,-51.1,33.82,60,20,3.44,few clouds
81,Carnarvon,AU,2022-04-02 20:36:47,-24.8667,113.6333,75.27,88,11,5.75,few clouds
82,Nioro,GM,2022-04-02 20:36:48,13.35,-15.75,79.72,39,6,11.65,clear sky
83,Cockburn Town,TC,2022-04-02 20:34:39,21.4612,-71.1419,82.36,57,40,17.27,scattered clouds
84,Ostrovnoy,RU,2022-04-02 20:36:48,68.0531,39.5131,15.94,92,83,14.58,broken clouds
85,Hobart,AU,2022-04-02 20:33:28,-42.8794,147.3294,55.26,84,100,8.05,overcast clouds
86,Tabou,CI,2022-04-02 20:36:48,4.423,-7.3528,79.27,87,100,8.93,light rain
87,Port Hardy,CA,2022-04-02 20:36:49,50.6996,-127.4199,44.78,87,100,5.75,light rain
88,Liverpool,GB,2022-04-02 20:32:36,53.4106,-2.9779,43.09,69,40,9.22,scattered clouds
89,Geraldton,AU,2022-04-02 20:36:49,-28.7667,114.6,73.81,94,100,6.91,overcast clouds
90,Guerrero Negro,MX,2022-04-02 20:36:49,27.9769,-114.0611,67.33,52,68,13.98,broken clouds
91,Thompson,CA,2022-04-02 20:36:49,55.7435,-97.8558,28.56,43,75,4.61,broken clouds
92,Klyuchi,RU,2022-04-02 20:37:50,52.2667,79.1667,34.99,90,70,8.21,broken clouds
93,Havre-Saint-Pierre,CA,2022-04-02 20:37:50,50.2334,-63.5986,41.0,87,100,18.41,overcast clouds
94,Sorong,ID,2022-04-02 20:37:50,-0.8833,131.25,79.16,83,100,5.86,overcast clouds
95,Zeya,RU,2022-04-02 20:37:51,53.75,127.2667,22.28,97,100,3.31,overcast clouds
96,Narsaq,GL,2022-04-02 20:37:51,60.9167,-46.05,41.22,93,100,1.1,overcast clouds
97,Esperance,AU,2022-04-02 20:37:51,-33.8667,121.9,64.24,53,13,12.93,few clouds
