City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
627,Ishurdi,BD,79.41,few clouds,24.1333,89.0833,Rafiur Rahman
630,Bertoua,CM,75.51,overcast clouds,4.5833,13.6833,Hotel De Paris
634,Madang,PG,75.31,light rain,-5.2246,145.7966,Comfort Inn Hotel
639,Sinnamary,GF,78.46,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
640,Padilla,CO,87.37,scattered clouds,3.2204,-76.3139,La Granadina
643,Monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn
646,Kano,NG,84.09,clear sky,12.0001,8.5167,Royal Tropicana Hotel
647,Salalah,OM,78.15,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
649,Buraydah,SA,77.45,few clouds,26.326,43.975,Mövenpick Qassim
652,San Juan,AR,79.52,clear sky,-31.5375,-68.5364,Hotel Provincial
665,Bubaque,GW,75.31,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
667,Piacabucu,BR,78.31,few clouds,-10.4056,-36.4344,Piaçabuçu News
670,Bartica,GY,75.52,heavy intensity rain,6.4,-58.6167,Sloth Island Nature Resort
677,Minbu,MM,82.74,few clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
682,Anakapalle,IN,82.35,scattered clouds,17.6833,83.0167,Satya Lodge
